,Aguas-A,CAP,CCU,CMPC,COLBUN,ConchaToro,ECL,LTM,SQM,Vapores,IGPA,BCP 10
3/1/2017,0.094074583,0.04580504,0.077820303,0.108111259,0.127184683,0.025778595,0.07912369,0.239368623,0.103594178,0.099078846,0.094282331,0.003435341
4/1/2017,-0.019326816,-0.088399008,0.045141944,-0.03353586,0.007285375,-0.038899784,-0.001478574,0.00749842,0.042797229,0.082710087,0.005025762,0.003193909
5/1/2017,0.029736824,-0.065742289,0.028897458,0.026404038,0.039978224,-0.009832022,0.002562182,-0.120024158,0.032293422,0.028363246,0.010977924,0.003295311
6/1/2017,0.040341301,-0.206725388,-0.015635977,-0.006780353,-0.059701352,-0.024826386,-0.003211744,-0.011917465,-0.08572908,-0.071919396,-0.023560159,0.003281902
7/1/2017,0.050960507,0.253568087,-0.005124835,0.03010813,0.058372006,0.020352106,0.152391552,0.035915477,0.192540672,0.186301754,0.062153276,0.003451244
8/1/2017,-0.019497238,0.075690859,-0.011028398,0.003112577,0.000332502,0.017411071,-0.066733007,0.029871791,0.095277372,0.081569344,0.016218376,0.003537344
9/1/2017,0.014472525,-0.098807074,0.005830803,0.026765712,0.02186688,0.001500246,0.042374638,0.065250485,0.197903953,0.042506399,0.036474434,0.00352892
10/1/2017,0.01805835,0.035553836,0.063769673,0.185948087,-0.02954254,0.053002341,-0.018301065,0.042343623,0.068168756,0.05901534,0.049212701,0.00366565
11/1/2017,-0.10758388,-0.135684302,-0.113067557,-0.099511441,-0.131953313,0.006128389,-0.123179753,-0.076519885,-0.082777719,-0.240602773,-0.107664608,0.003681535
12/1/2017,0.089964934,0.278402549,0.117750024,0.129655763,0.086899877,0.03453976,0.099487432,0.070014338,0.051527279,0.152191815,0.105965956,0.003768293
1/1/2018,0.0131265,-0.00138824,-0.034322049,0.13280404,0.055882363,0.143198391,0.010239246,0.173538639,-0.077132273,-0.053950515,0.050149731,0.003693877
2/1/2018,-0.020963291,0.077902877,-0.053422462,-0.039593092,-0.03421586,-0.047545439,0.004180209,-0.062409149,-0.115545191,-0.045823394,-0.04475346,0.003712007
3/1/2018,-0.011888791,-0.213310857,0.057561489,0.001657058,0.001199555,0.021481709,-0.011774248,-0.03742716,-0.025058337,-0.135523028,-0.014174616,0.00366944
4/1/2018,0.036979231,0.064206465,-0.04151976,0.084242875,0.0531925,0.035440665,-0.003623069,0.002309648,0.133367392,0.047244706,0.03413358,0.003609061
5/1/2018,-0.067032744,-0.081396968,-0.055073965,-0.038557751,-0.01984485,0.006772395,-0.027262831,-0.212308331,-0.006578329,-0.122293701,-0.038121514,0.003676646
6/1/2018,-0.026853532,-0.014186589,0.017470544,0.00572015,-0.052889993,-0.008789435,-0.054959055,-0.160012919,-0.037124729,-0.267823264,-0.028738664,0.003736031
7/1/2018,0.03966404,0.018177807,0.058977236,0.07089234,0.052724334,0.028022791,0.079508207,0.113608978,-0.020274922,0.002991775,0.019081617,0.003726708
8/1/2018,-0.016404243,-0.074195013,0.033672562,0.038959193,0.007920833,-0.034395964,-0.041890627,-0.129877158,-0.044505365,0.08101885,-0.028564956,0.003657172
9/1/2018,-0.002891465,0.077871322,0.021966115,-0.005482542,-0.0100769,-0.005729746,0.011806657,-0.019266891,0.03652402,0.035850982,0.011070934,0.003675593
10/1/2018,-0.005664316,0.022152092,-0.058004463,-0.108135536,-0.083771495,-0.005324246,-0.070799063,0.011743676,-0.004679539,-0.005998019,-0.034303125,0.0037298
11/1/2018,0.068026499,-0.090912952,0.015255279,-0.025549754,0.072417224,0.039203851,0.080457475,0.085208714,-0.009429446,0.00732604,-0.000526713,0.003644067
12/1/2018,-0.015025155,0.001553845,0.014744116,-0.051462324,0.016157593,-0.003635389,0.01085441,0.005988348,-0.079578952,-0.063698352,-0.000605216,0.003546549
1/1/2019,0.033428643,0.152239781,0.015611814,0.078081967,0.066787313,0.00324681,0.03979538,0.122645583,0.023348853,-0.011379924,0.05136098,0.003667325
2/1/2019,-0.009342457,0.020979315,0.039587859,0.037268365,0.01670665,0.03399747,-0.011198432,-0.028334933,-0.025367535,0.093487737,-0.01922081,0.003587736
3/1/2019,0.007527185,0.111168348,0.049133703,-0.024694173,0.015085518,0.010685085,0.003209628,-0.051845937,-0.041239682,0.066775431,-0.005743882,0.003480173
4/1/2019,0.007962664,-0.022154736,-0.002356925,-0.051380873,-0.015693698,0.005976286,-0.008043468,-0.074288825,-0.079568859,-0.057050881,-0.011785917,0.003368468
5/1/2019,0.041753622,-0.094393622,0.025287678,-0.175278033,-0.059693497,-0.001297869,-0.084049182,-0.076871672,-0.109375882,-0.067381268,-0.037907148,0.003308853
6/1/2019,0.021456714,0.098006538,-0.00520131,-0.013354768,0.047605521,0.017570181,0.083710614,0.024614985,-0.006779764,0.14613282,0.016813337,0.00285563
7/1/2019,-0.014971221,-0.072915885,0.032968819,-0.119198472,-0.057339537,-0.014034498,-0.007233989,0.051214837,-0.019184964,0.021823337,-0.019640745,0.002593729
8/1/2019,0.007467133,-0.212281391,-0.186585437,0.008450101,-0.02844107,-0.012731786,-0.005658484,-0.101905716,-0.14851791,-0.017064256,-0.040440188,0.002225982
9/1/2019,0.004515378,0.083895556,-0.005498587,0.02295578,0.023210591,0.038850652,0.045192496,0.285220305,0.130857458,0.074870716,0.047328402,0.002231172
10/1/2019,-0.159508503,-0.154676384,-0.095950002,-0.003544394,-0.027412631,-0.059720528,-0.159341236,0.017220588,-0.01860619,-0.037020492,-0.065642234,0.002420652
11/1/2019,-0.032892377,-0.039367098,0.001364969,0.032031859,-0.110294721,0.053489023,-0.095306884,0.029913985,-0.030928023,0.070591593,-0.048670804,0.002739443
12/1/2019,-0.030881539,0.085528188,0.004529783,0.053007243,0.077594726,-0.014373137,0.162565452,-0.113163052,0.061391279,0.044775829,0.029843054,0.002709257
1/1/2020,-0.061410943,-0.179692098,-0.042263958,-0.002719101,-0.029673671,0.015418262,-0.021994199,-0.126568981,0.10336569,-0.084422618,-0.018784753,0.002710476
